iteration,iteration_best,iteration_best_power_w,iteration_best_hops,global_best,global_best_power_w,global_best_hops,global_best_active_pms,iteration_average,exploration_rate,exploitation_rate
1,6160.4378,5038.0,2.3536,6160.4378,5038.0,2.3536,21,6397.148,0.22,0.65
2,5927.1355,4863.0,2.2011,5927.1355,4863.0,2.2011,20,6291.2587,0.165,0.7125
3,5948.8046,4863.0,2.3817,5927.1355,4863.0,2.2011,20,6122.573,0.11,0.775
4,5994.6968,4910.0,2.3725,5927.1355,4863.0,2.2011,20,6127.0368,0.055,0.8375
5,5945.8166,4863.0,2.3568,5927.1355,4863.0,2.2011,20,6077.5173,0.04,0.9
