iteration,iteration_best,iteration_best_power_w,iteration_best_hops,global_best,global_best_power_w,global_best_hops,global_best_active_pms,iteration_average,exploration_rate,exploitation_rate
1,6168.9756,5048.0,2.3415,6168.9756,5048.0,2.3415,21,6426.9844,0.22,0.65
2,6009.6282,4932.0,2.3136,6009.6282,4932.0,2.3136,20,6347.9777,0.165,0.7125
3,5941.5983,4863.0,2.3217,5941.5983,4863.0,2.3217,20,6122.5033,0.11,0.775
4,6001.0665,4910.0,2.4256,5941.5983,4863.0,2.3217,20,6094.1888,0.055,0.8375
5,6003.5196,4910.0,2.446,5941.5983,4863.0,2.3217,20,6123.4636,0.04,0.9
