iteration,iteration_best,iteration_best_power_w,iteration_best_hops,global_best,global_best_power_w,global_best_hops,global_best_active_pms,iteration_average,exploration_rate,exploitation_rate
1,1332.5791,1000.1,1.4373,1332.5791,1000.1,1.4373,4,1532.1263,0.22,0.65
2,1333.9511,1000.1,1.4488,1332.5791,1000.1,1.4373,4,1449.7628,0.165,0.7125
3,1332.5791,1000.1,1.4373,1332.5791,1000.1,1.4373,4,1366.3109,0.11,0.775
4,1332.5791,1000.1,1.4373,1332.5791,1000.1,1.4373,4,1334.0088,0.055,0.8375
5,1331.4353,1000.1,1.4278,1331.4353,1000.1,1.4278,4,1333.4222,0.04,0.9
